zip,neighborhood,borough
10465,Southeast Bronx,Bronx
10466,Northeast Bronx,Bronx
10467,Bronx Park/Fordham,Bronx
10468,Bronx Park/Fordham,Bronx
10469,Northeast Bronx,Bronx
10470,Northeast Bronx,Bronx
10471,Kingsbridge/Riverdale,Bronx
10472,Southeast Bronx,Bronx
10473,Southeast Bronx,Bronx
10474,Hunts Point/Mott Haven,Bronx
10475,Northeast Bronx,Bronx
11004,Southeast Queens,Queens
11101,Northwest Queens,Queens
11102,Northwest Queens,Queens
11103,Northwest Queens,Queens
11104,Northwest Queens,Queens
11105,Northwest Queens,Queens
11106,Northwest Queens,Queens
11201,Northwest Brooklyn,Brooklyn
11203,Flatbush,Brooklyn
11204,Borough Park,Brooklyn
11205,Northwest Brooklyn,Brooklyn
11206,Bushwick/Williamsburg,Brooklyn
11207,East New York/New Lots,Brooklyn
11208,East New York/New Lots,Brooklyn
11209,Southwest Brooklyn,Brooklyn
11210,Flatbush,Brooklyn
11211,Greenpoint,Brooklyn
11212,Central Brooklyn,Brooklyn
11212,Greenpoint,Brooklyn
11213,Central Brooklyn,Brooklyn
11214,Southwest Brooklyn,Brooklyn
11215,Northwest Brooklyn,Brooklyn
11216,Central Brooklyn,Brooklyn
11217,Northwest Brooklyn,Brooklyn
11218,Borough Park,Brooklyn
11219,Borough Park,Brooklyn
11220,Sunset Park,Brooklyn
11221,Bushwick/Williamsburg,Brooklyn
11222,Greenpoint,Brooklyn
11223,Southern Brooklyn,Brooklyn
11224,Southern Brooklyn,Brooklyn
11225,Flatbush,Brooklyn
11226,Flatbush,Brooklyn
11228,Southwest Brooklyn,Brooklyn
11229,Southern Brooklyn,Brooklyn
11230,Borough Park,Brooklyn
11231,Northwest Brooklyn,Brooklyn
11232,Sunset Park,Brooklyn
11233,Central Brooklyn,Brooklyn
11234,Canarsie/Flatlands,Brooklyn
11235,Southern Brooklyn,Brooklyn
11236,Canarsie/Flatlands,Brooklyn
11237,Bushwick/Williamsburg,Brooklyn
11238,Central Brooklyn,Brooklyn
11239,Canarsie/Flatlands,Brooklyn
11249,Bushwick/Williamsburg,Brooklyn
11308,South Shore,Staten Island
11309,South Shore,Staten Island
11354,North Queens,Queens
11355,North Queens,Queens
11356,North Queens,Queens
11357,North Queens,Queens
11358,North Queens,Queens
11359,North Queens,Queens
11360,North Queens,Queens
11361,Northeast Queens,Queens
11362,Northeast Queens,Queens
11363,Northeast Queens,Queens
11364,Northeast Queens,Queens
11365,Central Queens,Queens
11366,Central Queens,Queens
11367,Central Queens,Queens
11368,West Queens,Queens
11369,West Queens,Queens
11370,West Queens,Queens
11372,West Queens,Queens
11373,West Queens,Queens
11374,West Central Queens,Queens
11375,West Central Queens,Queens
11377,West Queens,Queens
11378,West Queens,Queens
11379,West Central Queens,Queens
11385,West Central Queens,Queens
11411,Southeast Queens,Queens
11412,Jamaica,Queens
11413,Southeast Queens,Queens
11414,Southwest Queens,Queens
11415,Southwest Queens,Queens
11416,Southwest Queens,Queens
11417,Southwest Queens,Queens
11418,Southwest Queens,Queens
11419,Southwest Queens,Queens
11420,Southwest Queens,Queens
11421,Southwest Queens,Queens
11422,Southeast Queens,Queens
11423,Jamaica,Queens
11426,Southeast Queens,Queens
11427,Southeast Queens,Queens
11428,Southeast Queens,Queens
11429,Southeast Queens,Queens
11432,Jamaica,Queens
11433,Jamaica,Queens
11434,Jamaica,Queens
11435,Jamaica,Queens
11436,Jamaica,Queens
11691,Rockaways,Queens
11692,Rockaways,Queens
11693,Rockaways,Queens
11694,Rockaways,Queens
11695,Rockaways,Queens
11697,Rockaways,Queens
